Station:,RE1,RE1,RE1,RE1,LS1,LS1,LS1,LS1
Messwert:,UVB,T_UVB,UVA,T_UVA,UVB,T_UVB,UVA,T_UVA
Einheit:,Med/h,°C,Med/h,°C,Med/h,°C,Med/h,°C
09.10.2017 00:10, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 00:20, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 00:30, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 00:40, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 00:50, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 01:00, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 01:10, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 01:20, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 01:30, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 01:40, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 01:50, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 02:00, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 02:10, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 02:20, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 02:30, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 02:40, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 02:50, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 03:00, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 03:10, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 03:20, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 03:30, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 03:40, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 03:50, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 04:00, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 04:10, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 04:20, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 04:30, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 04:40, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 04:50, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 05:00, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 05:10, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 05:20, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 05:30, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 05:40, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 05:50, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 06:00, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 06:10, 0.00,25.00, 0.00,25.00,-999,-999, 0.00,25.00
09.10.2017 06:20, 0.00,25.00, 0.01,25.00,-999,-999, 0.01,25.00
09.10.2017 06:30, 0.00,25.00, 0.04,25.00,-999,-999, 0.04,25.00
09.10.2017 06:40, 0.01,25.00, 0.08,25.00,-999,-999, 0.08,25.00
09.10.2017 06:50, 0.02,25.00, 0.13,25.00,-999,-999, 0.14,25.00
09.10.2017 07:00, 0.03,25.00, 0.19,25.00,-999,-999, 0.20,25.00
09.10.2017 07:10, 0.05,25.00, 0.25,25.00,-999,-999, 0.28,25.00
09.10.2017 07:20, 0.07,25.00, 0.31,25.00,-999,-999, 0.35,25.00
09.10.2017 07:30, 0.09,25.00, 0.39,25.00,-999,-999, 0.41,25.00
09.10.2017 07:40, 0.12,25.00, 0.51,25.00,-999,-999, 0.48,25.00
09.10.2017 07:50, 0.16,25.00, 0.68,25.00,-999,-999, 0.54,25.00
09.10.2017 08:00, 0.21,25.00, 0.82,25.10,-999,-999, 0.60,25.00
09.10.2017 08:10, 0.27,25.00, 0.95,25.00,-999,-999, 0.65,25.00
09.10.2017 08:20, 0.33,25.00, 1.08,25.00,-999,-999, 0.70,25.00
09.10.2017 08:30, 0.38,25.00, 1.11,25.00,-999,-999, 0.75,25.00
09.10.2017 08:40, 0.41,25.00, 1.02,25.00,-999,-999, 0.79,25.00
09.10.2017 08:50, 0.50,25.00, 1.22,25.00,-999,-999, 0.83,25.00
09.10.2017 09:00, 0.60,25.00, 1.43,25.00,-999,-999, 1.42,25.00
09.10.2017 09:10, 0.68,25.10, 1.54,25.00,-999,-999, 1.60,25.00
09.10.2017 09:20, 0.77,25.00, 1.64,25.00,-999,-999, 1.73,25.00
09.10.2017 09:30, 0.85,25.00, 1.71,25.00,-999,-999, 1.85,25.00
09.10.2017 09:40, 0.92,25.00, 1.80,25.00,-999,-999, 1.96,25.00
09.10.2017 09:50, 0.96,25.00, 1.77,25.00,-999,-999, 2.09,25.00
09.10.2017 10:00, 1.11,25.10, 2.04,25.00,-999,-999, 2.19,25.00
09.10.2017 10:10, 1.21,25.00, 2.14,25.00,-999,-999, 2.30,25.00
09.10.2017 10:20, 1.23,25.00, 2.06,25.00,-999,-999, 2.41,25.00
09.10.2017 10:30, 1.34,25.00, 2.22,25.00,-999,-999, 2.50,25.00
09.10.2017 10:40, 1.50,25.00, 2.49,25.00,-999,-999, 2.58,25.00
09.10.2017 10:50, 1.00,25.10, 1.38,25.00,-999,-999, 2.66,25.00
09.10.2017 11:00, 1.19,25.00, 1.80,25.00,-999,-999, 2.75,25.00
09.10.2017 11:10, 1.38,25.00, 2.06,25.00,-999,-999, 2.75,25.00
09.10.2017 11:20, 1.66,25.00, 2.59,25.00,-999,-999, 2.89,25.00
09.10.2017 11:30, 1.29,25.00, 1.92,25.00,-999,-999, 2.97,25.00
09.10.2017 11:40, 1.55,25.00, 2.52,25.00,-999,-999, 2.94,25.00
09.10.2017 11:50, 1.60,25.00, 2.54,25.00,-999,-999, 2.98,25.00
09.10.2017 12:00, 1.69,25.00, 2.64,25.00,-999,-999, 3.02,25.00
09.10.2017 12:10, 1.79,25.00, 2.86,25.00,-999,-999, 3.04,25.00
09.10.2017 12:20, 1.37,25.00, 2.06,25.00,-999,-999, 3.06,25.00
09.10.2017 12:30, 1.64,25.00, 2.64,25.00,-999,-999, 3.05,25.00
09.10.2017 12:40, 1.54,25.00, 2.47,25.00,-999,-999, 3.08,25.00
09.10.2017 12:50, 1.57,25.00, 2.56,25.00,-999,-999, 2.93,25.00
09.10.2017 13:00, 1.54,25.00, 2.44,25.00,-999,-999, 2.76,25.00
09.10.2017 13:10, 1.39,25.00, 2.12,25.00,-999,-999, 2.87,25.00
09.10.2017 13:20, 1.25,25.00, 1.94,25.00,-999,-999, 2.58,25.00
09.10.2017 13:30, 1.12,25.00, 1.74,25.00,-999,-999, 2.56,25.00
09.10.2017 13:40, 1.30,25.00, 2.21,25.00,-999,-999, 2.48,25.00
09.10.2017 13:50, 1.03,25.00, 1.74,25.00,-999,-999, 2.24,25.00
09.10.2017 14:00, 0.97,25.00, 1.66,25.00,-999,-999, 2.00,25.00
09.10.2017 14:10, 0.92,25.00, 1.58,25.00,-999,-999, 2.02,25.00
09.10.2017 14:20, 0.92,25.00, 1.67,25.00,-999,-999, 1.90,25.00
09.10.2017 14:30, 0.88,25.00, 1.67,25.00,-999,-999, 1.61,25.00
09.10.2017 14:40, 0.81,25.00, 1.60,25.00,-999,-999, 1.66,25.00
09.10.2017 14:50, 0.72,25.00, 1.46,25.00,-999,-999, 1.53,25.00
